sample,iterations,resolved_fraction,certified_high_recall,certified_high_count,certified_low_count,mean_bound_over_mean_abs_error,relative_l2_correction_error,max_bound_excess_over_error_scale,false_high,false_low,bound_violations
0,5,0.0,0.0,0,0,3.99550075706678,0.0557506964666004,0.0,0,0,0
0,10,0.962158203125,0.8170731707317073,335,3606,0.07493425589366438,0.0009158888010342386,0.0,0,0,0
0,20,1.0,1.0,410,3686,1.9580676601406228e-05,1.8624039615998614e-07,0.0,0,0,0
0,40,1.0,1.0,410,3686,1.6314771539097138e-12,6.730563814772786e-13,0.0,0,0,0
0,80,1.0,1.0,410,3686,2.960039890077979e-13,6.7767448826368e-13,2.2305061615288277e-13,0,0,0
1,5,0.0,0.0,0,0,4.203593155534065,0.061379817298352214,0.0,0,0,0
1,10,0.934814453125,0.7439024390243902,305,3524,0.10188833807436228,0.00124771560761178,0.0,0,0,0
1,20,1.0,1.0,410,3686,3.383667039569298e-05,4.488620543719487e-07,0.0,0,0,0
1,40,1.0,1.0,410,3686,1.9859284062813924e-12,1.0050659224012325e-12,1.0040822067829878e-13,0,0,0
1,80,1.0,1.0,410,3686,2.8530586291746747e-13,1.009734542681622e-12,4.937819385856469e-13,0,0,0
2,5,0.0,0.0,0,0,4.858483592023427,0.07001038034678414,0.0,0,0,0
2,10,0.9345703125,0.7024390243902439,288,3540,0.11328921173183348,0.002611500172551898,0.0,0,0,0
2,20,1.0,1.0,410,3686,4.3019118331927e-05,5.565820666990634e-07,0.0,0,0,0
2,40,1.0,1.0,410,3686,5.137655557000131e-12,1.3226619558762035e-12,0.0,0,0,0
2,80,1.0,1.0,410,3686,3.9503719425493706e-13,1.3073694673684909e-12,4.927990762339525e-13,0,0,0
3,5,0.0,0.0,0,0,3.1051104866413652,0.039650301033846654,0.0,0,0,0
3,10,0.94677734375,0.7317073170731707,300,3578,0.06544354829335909,0.0012699236450366524,0.0,0,0,0
3,20,1.0,1.0,410,3686,3.9664418742005885e-05,9.200900906082485e-07,0.0,0,0,0
3,40,1.0,1.0,410,3686,3.416713307917135e-12,5.522125766454866e-13,0.0,0,0,0
3,80,1.0,1.0,410,3686,3.3044135041832865e-13,5.437378756701875e-13,2.343782946934504e-13,0,0,0
4,5,0.000244140625,0.0,0,1,1.6484937137246272,0.04176250181745888,0.0,0,0,0
4,10,0.98779296875,0.9512195121951219,390,3656,0.030619922789511533,0.00024414348045307896,0.0,0,0,0
4,20,1.0,1.0,410,3686,5.085505692289526e-06,2.8967034277656508e-08,0.0,0,0,0
4,40,1.0,1.0,410,3686,2.2415268989441072e-13,3.733675091943146e-13,1.5934465499214538e-13,0,0,0
4,80,1.0,1.0,410,3686,2.2415268989441072e-13,3.733675091943146e-13,1.5934465499214538e-13,0,0,0
5,5,0.0,0.0,0,0,4.27882509260564,0.07339230207096427,0.0,0,0,0
5,10,0.9638671875,0.8097560975609757,332,3616,0.0956495395506319,0.0008321059048499985,0.0,0,0,0
5,20,1.0,1.0,410,3686,1.9882939544480865e-05,9.763139340668893e-08,0.0,0,0,0
5,40,1.0,1.0,410,3686,3.322687384285484e-13,1.1797265359298206e-12,4.1357316793512055e-13,0,0,0
5,80,1.0,1.0,410,3686,3.322687384285484e-13,1.1797265359298206e-12,4.1357316793512055e-13,0,0,0
6,5,0.0,0.0,0,0,5.690262663203542,0.03512675778826095,0.0,0,0,0
6,10,0.983154296875,0.9121951219512195,374,3653,0.0318327706484648,0.00033800215012627166,0.0,0,0,0
6,20,1.0,1.0,410,3686,3.3550829188011733e-06,2.6305124301424403e-08,0.0,0,0,0
6,40,1.0,1.0,410,3686,1.8311127050199266e-13,8.608787256455982e-13,5.296277561315319e-13,0,0,0
6,80,1.0,1.0,410,3686,1.8311127050199266e-13,8.608787256455982e-13,5.296277561315319e-13,0,0,0
7,5,0.0,0.0,0,0,2.2099017444724773,0.04233942050477582,0.0,0,0,0
7,10,0.979736328125,0.8926829268292683,366,3647,0.024740285004314615,0.00023081371198331002,0.0,0,0,0
7,20,1.0,1.0,410,3686,8.38201783784461e-06,6.271604241456332e-08,0.0,0,0,0
7,40,1.0,1.0,410,3686,2.210491406351913e-13,4.105565876739882e-13,1.6529141746199217e-13,0,0,0
7,80,1.0,1.0,410,3686,2.210491406351913e-13,4.105565876739882e-13,1.6529141746199217e-13,0,0,0
8,5,0.0,0.0,0,0,6.908552021957257,0.11179193389960057,0.0,0,0,0
8,10,0.96142578125,0.8414634146341463,345,3593,0.04960453376083972,0.00046459077953920675,0.0,0,0,0
8,20,1.0,1.0,410,3686,4.635172721120611e-06,5.516241888598637e-08,0.0,0,0,0
8,40,1.0,1.0,410,3686,3.1890513967440446e-13,1.6502881032809296e-12,4.612802367472138e-13,0,0,0
8,80,1.0,1.0,410,3686,3.1890513967440446e-13,1.6502881032809296e-12,4.612802367472138e-13,0,0,0
9,5,0.0,0.0,0,0,5.549889185365402,0.06129099894585162,0.0,0,0,0
9,10,0.977294921875,0.9,369,3634,0.03292248025264617,0.0003196850586540787,0.0,0,0,0
9,20,1.0,1.0,410,3686,5.3914757909950685e-06,5.5351875980064535e-08,0.0,0,0,0
9,40,1.0,1.0,410,3686,1.8994278506876047e-13,3.703976751486822e-12,1.714581121194688e-12,0,0,0
9,80,1.0,1.0,410,3686,1.8994278506876047e-13,3.703976751486822e-12,1.714581121194688e-12,0,0,0
10,5,0.0,0.0,0,0,1.9689055081384923,0.03722000057959214,0.0,0,0,0
