sample,iterations,resolved_fraction,certified_high_recall,certified_high_count,certified_low_count,mean_bound_over_mean_abs_error,relative_l2_correction_error,max_bound_excess_over_error_scale,false_high,false_low,bound_violations
0,5,0.0,0.0,0,0,41.27805788630104,1.0362764841369756,0.0,0,0,0
0,10,0.0,0.0,0,0,19.695103488101104,0.16852074155242514,0.0,0,0,0
0,20,0.322265625,0.10975609756097561,45,1275,1.0635097377006724,0.004050194368802426,0.0,0,0,0
0,40,1.0,1.0,410,3686,5.118173003933585e-05,7.622241378368357e-08,0.0,0,0,0
0,80,1.0,1.0,410,3686,4.7931946235195175e-12,2.1808876770437196e-12,2.7105890470721944e-14,0,0,0
1,5,0.0,0.0,0,0,52.311133312517654,0.7044285143089677,0.0,0,0,0
1,10,0.0,0.0,0,0,12.945923988114025,0.11005699082316006,0.0,0,0,0
1,20,0.784423828125,0.35121951219512193,144,3069,0.3666008236011319,0.0005399432402412661,0.0,0,0,0
1,40,1.0,1.0,410,3686,1.203502985394764e-05,9.951970192379737e-08,0.0,0,0,0
1,80,1.0,1.0,410,3686,2.189746787112137e-12,1.3461459617743266e-13,0.0,0,0,0
2,5,0.0,0.0,0,0,64.18632324135466,0.2979712667237526,0.0,0,0,0
2,10,0.0,0.0,0,0,32.542318970622425,0.24360039989837265,0.0,0,0,0
2,20,0.86083984375,0.6365853658536585,261,3265,0.5034473857582253,0.003107018819480276,0.0,0,0,0
2,40,1.0,1.0,410,3686,8.912157976779846e-05,5.221890983521438e-07,0.0,0,0,0
2,80,1.0,1.0,410,3686,6.053525645114602e-12,1.1046514336055797e-12,0.0,0,0,0
3,5,0.0,0.0,0,0,55.98238651118635,0.5793802046016616,0.0,0,0,0
3,10,0.0,0.0,0,0,11.999443306176401,0.1377392375274873,0.0,0,0,0
3,20,0.0,0.0,0,0,1.5122858093390137,0.00439982174563495,0.0,0,0,0
3,40,1.0,1.0,410,3686,0.00034155205623796205,6.891101828225828e-07,0.0,0,0,0
3,80,1.0,1.0,410,3686,7.937945003502152e-12,1.1721750739942545e-12,0.0,0,0,0
4,5,0.0,0.0,0,0,21.68020593606323,0.37144109139962406,0.0,0,0,0
4,10,0.0,0.0,0,0,10.242599317910107,0.06833657519589463,0.0,0,0,0
4,20,0.985595703125,0.9463414634146341,388,3649,0.04940430686233938,4.180056847853136e-05,0.0,0,0,0
4,40,1.0,1.0,410,3686,8.027249816416056e-07,4.966210351040247e-09,0.0,0,0,0
4,80,1.0,1.0,410,3686,2.7815961822999024e-12,5.097267829300896e-13,0.0,0,0,0
5,5,0.0,0.0,0,0,63.104997813925856,1.016075390376998,0.0,0,0,0
5,10,0.0,0.0,0,0,21.027031929550702,0.11818302844957161,0.0,0,0,0
5,20,0.937744140625,0.7439024390243902,305,3536,0.15109493448505654,0.00010861188466923509,0.0,0,0,0
5,40,1.0,1.0,410,3686,1.8899384097652212e-06,1.528636794039396e-08,0.0,0,0,0
5,80,1.0,1.0,410,3686,2.825967102179156e-12,1.861227518010656e-12,4.314007127775111e-13,0,0,0
6,5,0.0,0.0,0,0,47.43195247664805,0.28534088994265927,0.0,0,0,0
6,10,0.0,0.0,0,0,5.7772849056233015,0.008067667326546932,0.0,0,0,0
6,20,0.994140625,0.973170731707317,399,3673,0.010030078539656618,8.348752768575064e-05,0.0,0,0,0
6,40,1.0,1.0,410,3686,6.239169829545552e-08,4.794449067994102e-10,0.0,0,0,0
6,80,1.0,1.0,410,3686,8.529464862543392e-13,3.41934058492504e-13,7.227338755588468e-14,0,0,0
7,5,0.0,0.0,0,0,51.134010649615135,0.33927333428225037,0.0,0,0,0
7,10,0.0,0.0,0,0,9.38586192370553,0.06396850496689786,0.0,0,0,0
7,20,0.959228515625,0.8121951219512196,333,3596,0.10679314369133834,0.00015416741164967445,0.0,0,0,0
7,40,1.0,1.0,410,3686,1.9687787630853935e-06,7.35260493871368e-09,0.0,0,0,0
7,80,1.0,1.0,410,3686,2.5471450685189624e-12,5.826393292416506e-13,0.0,0,0,0
8,5,0.0,0.0,0,0,53.7719988771332,0.30939597983697303,0.0,0,0,0
8,10,0.0,0.0,0,0,5.470686488181205,0.013844611247303682,0.0,0,0,0
8,20,0.990478515625,0.9585365853658536,393,3664,0.014382591081358507,0.00012294868851610736,0.0,0,0,0
8,40,1.0,1.0,410,3686,4.090333728302789e-07,9.308544372152087e-10,0.0,0,0,0
8,80,1.0,1.0,410,3686,2.1596293733386253e-12,1.1504387722398661e-12,7.786451904816774e-13,0,0,0
9,5,0.0,0.0,0,0,105.54790199244937,0.3648597902489145,0.0,0,0,0
9,10,0.0,0.0,0,0,7.411755310354011,0.02124520057567067,0.0,0,0,0
9,20,0.980224609375,0.9024390243902439,370,3645,0.030377311315506403,0.0003086444324839345,0.0,0,0,0
9,40,1.0,1.0,410,3686,5.114875548070598e-06,4.095987948406962e-09,0.0,0,0,0
9,80,1.0,1.0,410,3686,1.6973314961678058e-12,4.217822416061269e-12,2.145022533899575e-12,0,0,0
10,5,0.0,0.0,0,0,39.45267308000862,0.6256616872963752,0.0,0,0,0
10,10,0.0,0.0,0,0,6.671387625727244,0.16393651448641677,0.0,0,0,0
10,20,0.9453125,0.7780487804878049,319,3553,0.06270564188127722,0.0004737968640838147,0.0,0,0,0
10,40,1.0,1.0,410,3686,1.5875332562785666e-05,1.299288925512043e-08,0.0,0,0,0
10,80,1.0,1.0,410,3686,3.286709904441422e-12,2.749943756597051e-12,8.612450768635738e-13,0,0,0
11,5,0.0,0.0,0,0,75.6656338627797,0.5793587848263393,0.0,0,0,0
11,10,0.0,0.0,0,0,10.712870074912084,0.0850767911104196,0.0,0,0,0
11,20,0.939208984375,0.7268292682926829,298,3549,0.12160840368160152,0.0004660593823660115,0.0,0,0,0
11,40,1.0,1.0,410,3686,1.230437975273219e-05,8.971139580841802e-08,0.0,0,0,0
11,80,1.0,1.0,410,3686,2.4923842630234498e-12,8.566139309042456e-13,3.533079081500034e-13,0,0,0
12,5,0.0,0.0,0,0,69.29823767644945,0.5400650191642631,0.0,0,0,0
12,10,0.0,0.0,0,0,15.694304130774622,0.17264571537227544,0.0,0,0,0
12,20,0.474853515625,0.03170731707317073,13,1932,0.6840692123134047,0.0012048777342169848,0.0,0,0,0
12,40,1.0,1.0,410,3686,3.2148821791991314e-05,1.5595790627314044e-07,0.0,0,0,0
12,80,1.0,1.0,410,3686,2.125739921842121e-12,7.105434227450537e-13,1.9893349602890434e-13,0,0,0
13,5,0.0,0.0,0,0,31.342628708238063,1.06419354392012,0.0,0,0,0
13,10,0.0,0.0,0,0,9.56119307024586,0.24622755033965776,0.0,0,0,0
13,20,0.878662109375,0.4926829268292683,202,3397,0.1763607012451229,0.0004416036636186915,0.0,0,0,0
13,40,1.0,1.0,410,3686,1.096434791309084e-05,8.23789810351068e-08,0.0,0,0,0
13,80,1.0,1.0,410,3686,3.4028759447278164e-12,2.575011802649999e-12,4.4472330211238476e-13,0,0,0
14,5,0.0,0.0,0,0,140.93077835955316,0.6983227158122686,0.0,0,0,0
14,10,0.0,0.0,0,0,18.43308368109367,0.15807052730543744,0.0,0,0,0
14,20,0.8681640625,0.47804878048780486,196,3360,0.19613151054283887,0.0008603129905301322,0.0,0,0,0
14,40,1.0,1.0,410,3686,1.3797553978136325e-05,2.1761521538391412e-08,0.0,0,0,0
14,80,1.0,1.0,410,3686,2.3697113850058206e-12,1.226592154993868e-13,0.0,0,0,0
15,5,0.0,0.0,0,0,48.08831294352835,0.7056899897732166,0.0,0,0,0
15,10,0.0,0.0,0,0,9.437712850161383,0.12996005432672225,0.0,0,0,0
15,20,0.96240234375,0.8146341463414634,334,3608,0.09073575440216763,0.0006281839537014999,0.0,0,0,0
15,40,1.0,1.0,410,3686,3.980990712425818e-05,4.231263432551605e-08,0.0,0,0,0
15,80,1.0,1.0,410,3686,3.4257677708470523e-12,8.118788707976595e-13,0.0,0,0,0
16,5,0.0,0.0,0,0,28.383444924728877,0.6691203517220302,0.0,0,0,0
16,10,0.0,0.0,0,0,6.442681831564521,0.12553967684652667,0.0,0,0,0
16,20,0.551025390625,0.02195121951219512,9,2248,0.5893261768380726,0.0023493710449092567,0.0,0,0,0
16,40,1.0,1.0,410,3686,0.00011932481561934107,8.4572006614236e-07,0.0,0,0,0
16,80,1.0,1.0,410,3686,5.45351177762145e-12,2.6158562855322076e-13,0.0,0,0,0
17,5,0.0,0.0,0,0,50.89999318504087,0.17233634292608074,0.0,0,0,0
17,10,0.0,0.0,0,0,3.0407831864681594,0.007598204070561451,0.0,0,0,0
17,20,0.9990234375,0.9951219512195122,408,3684,0.008215076548383854,7.255886055635458e-05,0.0,0,0,0
17,40,1.0,1.0,410,3686,2.0850683792900943e-06,1.4517960573436415e-09,0.0,0,0,0
17,80,1.0,1.0,410,3686,2.7331475771431976e-12,9.612718257428638e-13,1.0198118405349849e-13,0,0,0
18,5,0.0,0.0,0,0,50.33548614360801,0.29294619796563254,0.0,0,0,0
18,10,0.0,0.0,0,0,9.39850861290832,0.014266083938229946,0.0,0,0,0
18,20,0.985107421875,0.9463414634146341,388,3647,0.016445757154539397,0.0001712648316755951,0.0,0,0,0
18,40,1.0,1.0,410,3686,2.1761340069390858e-07,2.3057244038748645e-10,0.0,0,0,0
18,80,1.0,1.0,410,3686,1.6350489420249263e-12,3.4379350408163954e-12,1.2226340348528335e-12,0,0,0
19,5,0.0,0.0,0,0,86.6286196852386,0.2727643428310185,0.0,0,0,0
19,10,0.0,0.0,0,0,7.625390202298649,0.012245934158881353,0.0,0,0,0
19,20,0.978271484375,0.9097560975609756,373,3634,0.06404563755342071,0.00014841816493460177,0.0,0,0,0
19,40,1.0,1.0,410,3686,3.5107845036266304e-06,1.218888026480252e-08,0.0,0,0,0
19,80,1.0,1.0,410,3686,3.3136077236052018e-12,7.723762149058636e-13,3.786578737065913e-14,0,0,0
20,5,0.0,0.0,0,0,70.41528886613555,0.7440217743766623,0.0,0,0,0
20,10,0.0,0.0,0,0,18.686838608827284,0.2263866249502523,0.0,0,0,0
20,20,0.87158203125,0.5,205,3365,0.1866187489547816,0.0006848246387669779,0.0,0,0,0
20,40,1.0,1.0,410,3686,1.572077924387616e-05,2.954299046332477e-08,0.0,0,0,0
20,80,1.0,1.0,410,3686,2.5585215051281667e-12,7.350786035294495e-12,3.3115628789088255e-12,0,0,0
21,5,0.0,0.0,0,0,25.617717109472302,0.3148926785423773,0.0,0,0,0
21,10,0.0,0.0,0,0,9.787835949966832,0.05690226744278429,0.0,0,0,0
21,20,0.7890625,0.17560975609756097,72,3160,0.45823537917767193,0.0015890479585669813,0.0,0,0,0
21,40,1.0,1.0,410,3686,9.979646311469201e-05,4.0204525608818246e-07,0.0,0,0,0
21,80,1.0,1.0,410,3686,3.1954054147082832e-12,7.512007319215298e-14,0.0,0,0,0
22,5,0.0,0.0,0,0,31.07584698110165,0.2423573825539803,0.0,0,0,0
22,10,0.0,0.0,0,0,23.972334437963955,0.13455271155111048,0.0,0,0,0
22,20,0.715576171875,0.22682926829268293,93,2838,0.8074586255611077,0.002491227621512985,0.0,0,0,0
22,40,1.0,1.0,410,3686,0.0001316216556346627,1.794141038055967e-07,0.0,0,0,0
22,80,1.0,1.0,410,3686,4.499985239908319e-12,2.115999807590118e-13,0.0,0,0,0
23,5,0.0,0.0,0,0,29.717718691266764,1.0102340161279562,0.0,0,0,0
23,10,0.0,0.0,0,0,6.384677782443326,0.21308774532145933,0.0,0,0,0
23,20,0.964599609375,0.8268292682926829,339,3612,0.10188298884130975,0.0006167509737036027,0.0,0,0,0
23,40,1.0,1.0,410,3686,1.5289838113288503e-05,8.743778602845691e-09,0.0,0,0,0
23,80,1.0,1.0,410,3686,3.901240408999076e-12,4.492969162631353e-12,1.3806833555193918e-12,0,0,0
24,5,0.0,0.0,0,0,64.39188957890144,0.39651126562794947,0.0,0,0,0
24,10,0.0,0.0,0,0,19.75168775961604,0.0978658796435676,0.0,0,0,0
24,20,0.302001953125,0.046341463414634146,19,1218,0.8933437980686698,0.004199406539414661,0.0,0,0,0
24,40,1.0,1.0,410,3686,0.0002732025536840114,5.688190785594551e-07,0.0,0,0,0
24,80,1.0,1.0,410,3686,4.393712297804644e-12,5.739537414890085e-13,0.0,0,0,0
25,5,0.0,0.0,0,0,26.36317154480447,0.25169816010566687,0.0,0,0,0
25,10,0.0,0.0,0,0,7.010951102441792,0.05113755060655932,0.0,0,0,0
25,20,0.754638671875,0.06341463414634146,26,3065,0.5200863644586521,0.0012464494409384326,0.0,0,0,0
25,40,1.0,1.0,410,3686,0.00013698288741284268,3.809376378652089e-07,0.0,0,0,0
25,80,1.0,1.0,410,3686,3.2270253812126405e-12,2.9428660403030597e-13,0.0,0,0,0
26,5,0.0,0.0,0,0,39.819536725592286,0.4479401285673621,0.0,0,0,0
26,10,0.0,0.0,0,0,15.475475226064107,0.10555700209476619,0.0,0,0,0
26,20,0.657958984375,0.0951219512195122,39,2656,0.770232815664049,0.0014269433294447824,0.0,0,0,0
26,40,1.0,1.0,410,3686,3.589547366952475e-05,5.967663470720281e-08,0.0,0,0,0
26,80,1.0,1.0,410,3686,2.0720961686627204e-12,8.992343058410394e-13,5.893700189504778e-13,0,0,0
27,5,0.0,0.0,0,0,63.07925790450341,0.7878737790156449,0.0,0,0,0
27,10,0.0,0.0,0,0,17.63962137637817,0.23357102486859854,0.0,0,0,0
27,20,0.001708984375,0.01707317073170732,7,0,1.7740385640251617,0.004355607431581232,0.0,0,0,0
27,40,1.0,1.0,410,3686,0.0003269756434422802,5.3566835797446e-07,0.0,0,0,0
27,80,1.0,1.0,410,3686,4.958436662736311e-12,2.1720395173948484e-12,3.9188145445541164e-13,0,0,0
28,5,0.0,0.0,0,0,89.28176937025395,0.6330961639814459,0.0,0,0,0
28,10,0.0,0.0,0,0,24.70930528114224,0.06326004460504846,0.0,0,0,0
28,20,0.924560546875,0.6658536585365854,273,3514,0.12308100217750553,0.00016138580478707184,0.0,0,0,0
28,40,1.0,1.0,410,3686,3.1177512575748115e-06,3.1254284479717667e-08,0.0,0,0,0
28,80,1.0,1.0,410,3686,1.7947817009623935e-12,8.237116847850143e-12,3.9639921713175535e-12,0,0,0
29,5,0.0,0.0,0,0,59.57065532873161,0.6599518874920745,0.0,0,0,0
29,10,0.0,0.0,0,0,15.36211865500512,0.15330951452485522,0.0,0,0,0
29,20,0.00048828125,0.004878048780487805,2,0,1.82455666973059,0.004216322114047564,0.0,0,0,0
29,40,1.0,1.0,410,3686,0.00042010801731488963,6.537188441568316e-07,0.0,0,0,0
29,80,1.0,1.0,410,3686,8.980894577930276e-12,4.5997457293678796e-12,1.0660295191011131e-12,0,0,0
30,5,0.0,0.0,0,0,99.25612413740716,0.8292675055861634,0.0,0,0,0
30,10,0.0,0.0,0,0,16.94057179625701,0.19426549278650238,0.0,0,0,0
30,20,0.000732421875,0.007317073170731708,3,0,1.9062929342516866,0.0026260280765342285,0.0,0,0,0
30,40,0.999267578125,0.9951219512195122,408,3685,0.00011766146626080576,2.0690765759444612e-07,0.0,0,0,0
30,80,1.0,1.0,410,3686,3.6207270110299764e-12,1.0344578165555831e-12,5.891077939642001e-14,0,0,0
31,5,0.0,0.0,0,0,33.85643023734585,0.5590012350553107,0.0,0,0,0
31,10,0.0,0.0,0,0,8.827321884631903,0.1113450744541991,0.0,0,0,0
31,20,0.552490234375,0.0951219512195122,39,2224,0.7165196390874297,0.002339228087387276,0.0,0,0,0
31,40,1.0,1.0,410,3686,3.314181997798661e-05,3.6759682163183024e-07,0.0,0,0,0
31,80,1.0,1.0,410,3686,3.0040560119499913e-12,3.705732582937708e-13,0.0,0,0,0
32,5,0.0,0.0,0,0,71.05815014819795,0.9550359212155505,0.0,0,0,0
32,10,0.0,0.0,0,0,23.69010390373203,0.22321735355600242,0.0,0,0,0
32,20,0.0,0.0,0,0,1.7597621197775553,0.005630064054216684,0.0,0,0,0
32,40,1.0,1.0,410,3686,0.00012593417192611778,2.2163353340382154e-07,0.0,0,0,0
