source,N,fields,unique_fields,iterations,metric,baseline,flux,paired_gain,ci95_low,ci95_high
submission_fresh_32_k100,32,200,200,20,resolved_fraction,0.8370166015625,0.9158251953125,0.07880859375,0.0624393310546875,0.09611926269531249
submission_fresh_32_k100,32,200,200,40,certified_top10_recall,0.9999029126213592,0.9999514563106797,4.8543689320388326e-05,0.0,0.00014563106796116498
submission_fresh_32_k100,32,200,200,40,resolved_fraction,0.99998046875,0.999990234375,9.765625e-06,0.0,2.9296875e-05
submission_fresh_32_k500,32,200,200,20,certified_top10_recall,0.18728155339805824,0.2570873786407767,0.06980582524271844,0.059126213592233016,0.08135922330097084
submission_fresh_32_k500,32,200,200,20,resolved_fraction,0.3239794921875,0.4300048828125,0.106025390625,0.08477038574218751,0.1277412109375
submission_fresh_32_k500,32,200,200,40,certified_top10_recall,0.9949514563106797,0.9970388349514563,0.0020873786407766986,0.001310679611650485,0.002962378640776683
submission_fresh_32_k500,32,200,200,40,resolved_fraction,0.9989306640625,0.9994091796875,0.000478515625,0.0003076171875,0.0006884765625
submission_fresh_64_k10,64,200,200,20,certified_top10_recall,0.999939024390244,0.9999634146341464,2.4390243902439046e-05,0.0,6.0975609756097615e-05
submission_fresh_64_k10,64,200,200,20,resolved_fraction,0.99998779296875,0.99999267578125,4.8828125e-06,0.0,1.220703125e-05
submission_fresh_64_k10,64,200,200,40,certified_top10_recall,1.0,1.0,0.0,0.0,0.0
submission_fresh_64_k10,64,200,200,40,resolved_fraction,1.0,1.0,0.0,0.0,0.0
submission_fresh_64_k100,64,200,200,20,certified_top10_recall,0.5077682926829268,0.6220121951219513,0.11424390243902441,0.10447560975609757,0.12384237804878047
submission_fresh_64_k100,64,200,200,20,resolved_fraction,0.7459375,0.845872802734375,0.099935302734375,0.08215811157226562,0.11839062499999997
submission_fresh_64_k100,64,200,200,40,certified_top10_recall,0.9998292682926829,0.9999024390243904,7.317073170731714e-05,1.2195121951219523e-05,0.00017073170731707332
submission_fresh_64_k100,64,200,200,40,resolved_fraction,0.999967041015625,0.99998046875,1.3427734375e-05,1.220703125e-06,3.0517578125e-05
submission_fresh_64_k500,64,200,200,20,certified_top10_recall,0.10912195121951221,0.16303658536585366,0.05391463414634146,0.044121646341463414,0.06431768292682927
submission_fresh_64_k500,64,200,200,20,resolved_fraction,0.214444580078125,0.309864501953125,0.095419921875,0.07496432495117188,0.11721939086914063
submission_fresh_64_k500,64,200,200,40,certified_top10_recall,0.9873780487804877,0.9932073170731707,0.005829268292682929,0.004500000000000002,0.007317378048780486
submission_fresh_64_k500,64,200,200,40,resolved_fraction,0.997330322265625,0.99858154296875,0.001251220703125,0.000964324951171875,0.001563720703125
