kappa,rung,backend,matvecs,matvecs_with_setup,spearman_mean,spearman_ci95_low,spearman_ci95_high,auroc_mean,auroc_ci95_low,auroc_ci95_high,error_capture_top10_mean,error_capture_top10_ci95_low,error_capture_top10_ci95_high,top10_overlap_mean,top10_overlap_ci95_low,top10_overlap_ci95_high,time_s_mean,time_s_ci95_low,time_s_ci95_high
100.0,0_sigma_ens,,0.0,0.0,0.39913883048869897,0.3824066333774408,0.4149335941453468,0.7268567302320187,0.7169386233304871,0.7380670585475897,0.18032439973375325,0.1746841866178131,0.1858304610994181,0.27490291262135913,0.2620849514563106,0.28835072815533974,2.1487899982730597e-06,2.068988740802524e-06,2.2675021176326026e-06
100.0,1_abs_r,,1.0,1.0,0.2294282999025463,0.21139031283387946,0.24792016422678545,0.6880177729989565,0.6750646142331573,0.7005369019006356,0.16370283582152376,0.1571454214630749,0.17090607890089332,0.2603883495145631,0.24271844660194172,0.2786432038834951,2.6531045001547682e-05,2.5630383871998675e-05,2.7560487630466924e-05
100.0,2_smooth_abs_r,,1.0,1.0,0.3378263541815678,0.30886294189435665,0.3663708490582643,0.7587933651687169,0.741349527740004,0.776352777162856,0.18281820131839524,0.1747080580825196,0.1911121944649797,0.30752427184466014,0.2856165048543689,0.3292257281553398,0.00012976315001424156,0.00011568946239364663,0.00015676468063750802
100.0,3a_jacobi_1,,2.0,2.0,0.2889316849094306,0.2798112112951282,0.2983986528536496,0.6836503694801976,0.677369272002783,0.6892361075972718,0.1818435281181332,0.17812042996456606,0.18551863034079114,0.2927184466019417,0.2844162621359223,0.3004429611650485,8.11854449978e-05,7.918787411654194e-05,8.36283377689142e-05
100.0,3b_jacobi_2,,3.0,3.0,0.3023262434285816,0.29299104477309607,0.3115321332480799,0.6951487408157027,0.6878391996879711,0.7020531503325848,0.1879941346278907,0.18419172990422059,0.19146094066845254,0.3118446601941747,0.30300970873786404,0.32160315533980577,6.977235499903145e-05,6.835880349817103e-05,7.13858115002779e-05
100.0,3c_jacobi_5,,6.0,6.0,0.36001232146529216,0.3491185422124222,0.3702966840656515,0.7327143354100124,0.7245149360129871,0.7414692332627051,0.20363207753522616,0.19921379714086435,0.2079517494313233,0.36024271844660194,0.34912499999999996,0.3719915048543689,9.285357001090233e-05,9.13886517589333e-05,9.435717814994859e-05
100.0,3d_jacobi_10,,11.0,11.0,0.42326020162407907,0.41037910031219826,0.4360599629938621,0.7738583536257551,0.7627829989036822,0.784886730073896,0.21788817595050275,0.21270632698768335,0.22301905822198576,0.4091747572815534,0.3932997572815535,0.42524393203883487,0.00013437495500738804,0.00013226115150848726,0.00013673315401820218
100.0,3e_jacobi_20,,21.0,21.0,0.5029156538337743,0.48833045532217834,0.5173734166038955,0.8156333343874852,0.8021834303152967,0.8286942630424928,0.23371880748253587,0.2273848213936313,0.24051002291436308,0.46519417475728153,0.4463009708737864,0.48481310679611644,0.00021888399500767265,0.0002152054186326495,0.00022351458099711862
100.0,3f_gs_1,,2.0,2.0,0.3014779319366461,0.292868665546657,0.31075552657959904,0.6935068994233791,0.6869923178689268,0.7002892645183054,0.18684621679720562,0.18329875523663677,0.19041823094668922,0.30830097087378633,0.2986395631067961,0.3173337378640776,0.001562038305007718,0.0015484796241329092,0.0015772559162466847
100.0,3g_gs_5,,6.0,6.0,0.4193804042651634,0.40645634732376745,0.4319274966863511,0.7715618839800554,0.7602863260702276,0.781814535171774,0.21721270319994537,0.2119922303123565,0.22248392288203891,0.406747572815534,0.3917415048543689,0.42203883495145633,0.0075905822849904325,0.007524154272113947,0.007682983218109428
100.0,3h_cg_5,,6.0,6.0,0.24814348725502466,0.2320269572377244,0.26389723531321524,0.6994443038908743,0.6872573158133309,0.7116762818485607,0.1705880342054548,0.1640467945006265,0.17715769254611094,0.2766990291262135,0.2594611650485436,0.29335194174757273,0.0003783612999950492,0.00037073579937103315,0.0003863831909952182
100.0,3i_cg_10,,11.0,11.0,0.2847461437061905,0.2716417807286451,0.2982905900614003,0.7210381813773548,0.7100953480282091,0.7313655218578371,0.18966724524076384,0.18364827667975925,0.1957799929986089,0.32567961165048537,0.31062985436893203,0.3405351941747572,0.0003289121100090142,0.0003221386572542144,0.00033664578438893504
100.0,3j_cg_20,,21.0,21.0,0.3367473811556756,0.32298611952856776,0.34903206031427697,0.7512217619092797,0.7406343476908805,0.7615260454550246,0.21507290319515235,0.20941013693333174,0.22114251531884604,0.4016019417475728,0.38674757281553396,0.4158252427184466,0.0005273560200134852,0.0005198271812643895,0.0005353312602692881
100.0,4_vcycle,pyamg_smoothed_aggregation,3.642628205128205,988.939405195151,0.911767216836689,0.8959161181832709,0.92659138831271,0.9667449901436808,0.9570802064556255,0.9753557011163466,0.30948562874877955,0.30230161472343164,0.3174340147326204,0.8118932038834952,0.789270631067961,0.8321395631067963,0.005764297315022304,0.005676933898297847,0.005861589587400061
100.0,5_oracle,,1.0,269.5063207145573,1.0,1.0,1.0,1.0,1.0,1.0,0.3286252754701425,0.3210793845046675,0.3361711177450808,1.0,1.0,1.0,0.0016557672550004555,0.0016242693498853668,0.0017006124495084975
