sample,seed,relative_l2_prediction_error,raw_spearman
0,0,0.04757610614799618,0.07178308955010371
0,1,0.03721787983926196,0.22657196597167584
0,2,0.04472009865095883,0.06601797752306701
1,0,0.04516726660969056,-0.1232283992561333
1,1,0.04435995569913934,-0.13801417995851512
1,2,0.048323184995576494,-0.232125093877405
2,0,0.09790430578761403,-0.16345020697732637
2,1,0.08682049395353947,-0.012271039714612688
2,2,0.09949568135265204,-0.1535417150954867
3,0,0.05074492015781492,-0.17289083175380873
3,1,0.0696689140364058,-0.00677970325799299
3,2,0.05914586802584578,-0.05016577185108361
4,0,0.048667042734373674,0.02963159824046921
4,1,0.03892870140218375,0.010896305700593661
4,2,0.04958009262863415,0.018416008779772546
5,0,0.03289878022403836,0.08750535324726413
5,1,0.03572071241724459,0.012019694138473641
5,2,0.03567953662419045,-0.11345322446534581
6,0,0.03679647229919672,-0.035724498873471136
6,1,0.05002400704904029,0.004109606340748158
6,2,0.04600025617408671,-0.04179924987483012
7,0,0.03058515655614202,0.08308284457478005
7,1,0.047282487124705765,0.26207065615835773
7,2,0.034630353368471985,0.14545766352549888
8,0,0.03729212040971868,0.1336368218475073
8,1,0.0308106363622769,0.11635938952864601
8,2,0.04821141987547697,0.18996837225520347
9,0,0.03518400521962515,0.10859576165867964
9,1,0.05147094480670859,-0.010037707424361633
9,2,0.053248475871691216,0.08247654182461911
10,0,0.05044152203848421,0.11585622898934267
10,1,0.04946011044006094,0.01709789178170374
10,2,0.052785337639698435,0.13061924442099992
11,0,0.06742106697144808,0.34216696990558615
11,1,0.06400213893585241,0.22839038248337026
11,2,0.05829343995147457,0.3164747916815678
12,0,0.04401020191833892,-0.06963720853300909
12,1,0.04292971709180462,-0.05625832603175738
12,2,0.041913182987939834,-0.19846512677920033
13,0,0.031145297855860087,-0.13265546768829123
13,1,0.027027937017862342,-0.141774595880123
13,2,0.031781495619728636,-0.3047236875044703
14,0,0.057417660623327656,-0.23199852701881118
14,1,0.0503881082119338,-0.05519849483227236
14,2,0.03934701595510513,-0.025327050997782704
15,0,0.0403664619983314,-0.04163731135111937
15,1,0.043220677901707485,-0.09664237402546312
15,2,0.04216035457090186,-0.16672801480580787
16,0,0.04269290522157736,0.10092492713325225
16,1,0.03901756278223038,0.08903433677848509
16,2,0.032729367473919475,0.15073834579071596
17,0,0.07327312298475372,-0.1527116153172162
17,1,0.05347474129876983,-0.15539972775552535
17,2,0.055176468221285344,-0.15671250268221157
18,0,0.03593181055044392,0.09669287783420355
18,1,0.035238963050026634,0.13570075012516986
18,2,0.038109328763583195,0.003878220889063729
19,0,0.038916899813687136,-0.028326411737357837
19,1,0.039715481164965864,0.023710973821615047
19,2,0.03562642420976064,0.06199677240540734
20,0,0.04732356897700608,-0.023682967062441884
20,1,0.034457501863084744,-0.009543454062656461
20,2,0.02940701735750793,-0.02493611866103998
21,0,0.05162579390076678,-0.14771205117659678
21,1,0.04066986104574418,-0.04816428322366068
21,2,0.05658752803384579,-0.192440298440741
22,0,0.03618104925860456,0.1752072567234103
22,1,0.05490403371897437,0.2227763124955296
22,2,0.0374643578820138,0.24132173798369214
23,0,0.038361368913000266,-0.025894428152492665
23,1,0.03214180409978114,-0.11925018775481008
23,2,0.033380372826142805,0.02337415510335455
24,0,0.03440555289706525,-0.07856382098919962
24,1,0.03875065821835765,-0.010364154924540448
24,2,0.03374506164500795,0.017780570506401545
25,0,0.029027356776757673,0.04903088343108505
25,1,0.025022463173238994,0.019096966418711104
