sample,method,spearman,auroc,error_capture_top10,top10_overlap,relative_l2_correction_error,relative_A_correction_error,iterations_executed
0,raw,0.09243800738502252,0.6015200868621065,0.09510966175716722,0.06796116504854369,,,
0,prediction_magnitude,0.2961616323045561,0.6065694738728482,0.07692059736113421,0.038834951456310676,,,
0,boundary_distance,0.30058581155777014,0.6149657927748438,0.11450655168718295,0.1385701676963813,,,
0,ensemble,0.3980984684571918,0.7347754129639585,0.1710351295117712,0.2815533980582524,,,
0,poisson_pcg5,0.9240260666261354,0.9886573268819244,0.2398636761455387,0.8446601941747572,0.23102761216822795,0.17781214804305778,5.0
0,poisson_pcg10,0.9926010858486518,0.9995677977715232,0.24394624060936693,0.9611650485436893,0.06050368436159846,0.056848349337407386,10.0
0,poisson_pcg20,0.9999365656963021,1.0,0.2441167033668079,1.0,0.004705994515611195,0.007066564773225983,20.0
0,poisson_pcg40,0.9999998547135397,1.0,0.2441167033668079,1.0,4.79615122496585e-05,0.00010074930905774137,40.0
0,poisson_pcg80,1.0,1.0,0.2441167033668079,1.0,6.697969667536633e-09,1.2748516822018572e-08,80.0
0,cg20,0.4304099201595022,0.9220771006609532,0.1630920351415258,0.5242718446601942,0.7456138508364245,0.2954997429383953,20.0
0,diagonal_pcg20,0.8239814525069736,0.9878877960848803,0.2385118817821766,0.7961165048543689,0.389517257427166,0.13403630546671086,20.0
0,amg,0.9951885818253342,0.9990090973298336,0.243692581081301,0.941747572815534,0.06671980803628533,0.0871276443685884,
1,raw,-0.21017083452542734,0.42092280446538693,0.05381426065883917,0.019417475728155338,,,
1,prediction_magnitude,0.7309509781131535,0.8715621475179997,0.21778890531318057,0.39805825242718446,,,
1,boundary_distance,0.628836628695803,0.8455298693905948,0.22267316797270328,0.4454986760812004,,,
1,ensemble,0.47149218135326515,0.7262789496431696,0.16255004941651666,0.30097087378640774,,,
1,poisson_pcg5,0.9305169627530219,0.9540600655682405,0.2429322164064742,0.5728155339805825,0.31686939243177503,0.2620639405775581,5.0
1,poisson_pcg10,0.9929557300979901,0.9971221656494103,0.26492907131917887,0.912621359223301,0.06848328478741858,0.08394751888861213,10.0
1,poisson_pcg20,0.9999179690293969,0.9999683754466968,0.26586053470829585,0.9902912621359223,0.006273350739375347,0.010517231884383181,20.0
1,poisson_pcg40,0.9999999105929473,1.0,0.2658634301037193,1.0,5.000496330050312e-05,0.00014765504882515942,40.0
1,poisson_pcg80,1.0,1.0,0.2658634301037193,1.0,8.33616197408202e-09,2.4527557113340477e-08,80.0
