dataset,n,high_error_rate,area_delta_ensemble_minus_combined,ci95_low,ci95_high
test_id,80,0.1,0.035390625000000016,0.01046289062500002,0.062814453125
test_r,200,0.645,0.008687500000000459,-0.0006653125000002354,0.017988125000000712
test_b,200,1.0,0.0,0.0,0.0
test_cs,200,0.335,0.08386250000000016,0.06133437500000005,0.10612812499999992
