sample,method,spearman,auroc,error_capture_top10,top10_overlap,corrected_prediction_relative_l2,relative_l2_correction_error,iterations_executed
0,raw,0.4242288418210428,0.9015422240494186,0.18061183834762318,0.42718446601941745,,,
0,prediction_magnitude,0.49057467500536434,0.40557435459557467,0.1127947838142871,0.0,,,
0,ensemble,0.6851723991488448,0.7789865384818107,0.18065381073320472,0.2621359223300971,,,
0,cg20,0.41006230553966094,0.8580162971864689,0.21102306972815546,0.4563106796116505,0.18815479673420538,0.9692430284098354,20.0
0,diagonal_pcg20,0.5556515203669264,0.767106247957581,0.1949777926569928,0.3786407766990291,0.1795808426570083,0.925075962996304,20.0
0,poisson_pcg20,0.9999978318789787,1.0,0.24166933617873315,1.0,0.000213128872022033,0.0010978921449024833,20.0
0,amg,0.9901076125634789,0.9979865701063639,0.2406799264989671,0.9029126213592233,0.029174039519141208,0.15028441955920707,
1,raw,0.15079309643444672,0.6372031245058664,0.12330604186369828,0.10679611650485436,,,
1,prediction_magnitude,0.45126542271654385,0.742512887005471,0.19047268760530725,0.27184466019417475,,,
1,ensemble,0.46256935752092126,0.7343748352887849,0.16451401732753568,0.2815533980582524,,,
1,cg20,0.23635068351691577,0.7444736093102685,0.1927438390175058,0.36893203883495146,0.01675693858756708,0.8502627732543229,20.0
1,diagonal_pcg20,0.8596084753415348,0.9230363787778164,0.24447977772828697,0.5533980582524272,0.006946158426658528,0.35245459046419153,20.0
1,poisson_pcg20,0.9999948590944854,1.0,0.27217287246136446,1.0,2.8067082801910813e-05,0.0014241500937419284,20.0
1,amg,0.6814323345075459,0.7549518779713903,0.20933792292316278,0.3592233009708738,0.012270678027130976,0.6226257066311816,
2,raw,0.19488904584793648,0.5706123567671273,0.1456268761654632,0.13592233009708737,,,
2,prediction_magnitude,0.5323628831092196,0.7501238628337709,0.13588816322631558,0.019417475728155338,,,
2,ensemble,0.4284233513339532,0.8358791098742397,0.24201301662845787,0.36893203883495146,,,
2,cg20,0.2743233786031042,0.6663082550625639,0.2510045767815785,0.36893203883495146,0.07274356606974273,0.7714015455400112,20.0
2,diagonal_pcg20,0.633957893748659,0.9958044759284442,0.40119178208953904,0.8640776699029126,0.03975268506923769,0.4215531951289686,20.0
2,poisson_pcg20,0.9999738372612831,1.0,0.40894806415518825,1.0,0.00018759241430489778,0.0019893041562966643,20.0
2,amg,0.9319678492239467,0.9997786281268777,0.40867674261048825,0.970873786407767,0.016760064898686665,0.1777303569885807,
3,raw,0.18753408643873826,0.7280183000748448,0.16482642586031795,0.27184466019417475,,,
3,prediction_magnitude,0.3915034913453973,0.7214087684344792,0.11142255957803579,0.08737864077669903,,,
3,ensemble,0.32346181871826046,0.7946196093313516,0.20670679726000854,0.4368932038834951,,,
3,cg20,0.3206162269329805,0.8876168790782497,0.2666200173487335,0.5922330097087378,0.03595721574936578,0.8083279571497168,20.0
3,diagonal_pcg20,0.5260308297868536,0.8529352856224239,0.23592334275058455,0.46601941747572817,0.0314985087385768,0.7080950149029649,20.0
3,poisson_pcg20,0.9999925345111221,1.0,0.344439044915913,1.0,5.246447200967423e-05,0.0011794155525867288,20.0
3,amg,0.7725374392032044,0.9822059180080748,0.3398490265192955,0.8932038834951457,0.01712158880950823,0.38489795767324814,
4,raw,0.2095009186574637,0.7259205380390669,0.2313215866188175,0.30097087378640774,,,
4,prediction_magnitude,0.6409287045812173,0.8489611334239904,0.27771407901099454,0.4174757281553398,,,
4,ensemble,0.6755238359201774,0.8665127605072578,0.2587498032212317,0.4077669902912621,,,
4,cg20,0.27891718001215937,0.7809156362333048,0.2933852064736569,0.42718446601941745,0.052710319171572005,0.7665461748977458,20.0
4,diagonal_pcg20,0.5252234505757813,0.9919357389076879,0.4073373512046662,0.8349514563106796,0.027017739691711444,0.3929087385650667,20.0
4,poisson_pcg20,0.9999997876582504,1.0,0.42598655109415773,1.0,4.274261088519968e-06,6.215895747575574e-05,20.0
4,amg,0.9135134736428009,0.9983766062637699,0.42200721832638394,0.941747572815534,0.0158802167828927,0.23093996816544693,
5,raw,0.3145160284493241,0.7712701474758336,0.19430300906000894,0.2912621359223301,,,
5,prediction_magnitude,0.3747734313532651,0.6504116462688297,0.0776631329806143,0.05825242718446602,,,
5,ensemble,0.4508398674987482,0.8231660394463595,0.22231731480412395,0.39805825242718446,,,
5,cg20,0.3564975010728846,0.8003858195502989,0.2548946743647401,0.42718446601941745,0.0180774461652562,0.7991303290338166,20.0
5,diagonal_pcg20,0.5947277108218296,0.7517788811233042,0.27116042372171917,0.5436893203883495,0.015182861755260202,0.67117253174152,20.0
5,poisson_pcg20,0.9999928362599242,1.0,0.3626662799826498,1.0,2.9354654849928163e-05,0.0012976498325290274,20.0
