sample,iterations,resolved_fraction,certified_high_recall,certified_high_count,certified_low_count,mean_bound_over_mean_abs_error,relative_l2_correction_error,max_bound_excess_over_error_scale,false_high,false_low,bound_violations
0,5,0.0,0.0,0,0,72.65293835562093,1.0108695516363067,0.0,0,0,0
0,10,0.0,0.0,0,0,198.34915747029513,0.4443341893291987,0.0,0,0,0
0,20,0.0,0.0,0,0,1.707462912795807,0.01015978555226,0.0,0,0,0
0,40,1.0,1.0,410,3686,0.0009907112505622663,2.0154987299409426e-06,0.0,0,0,0
0,80,1.0,1.0,410,3686,3.951680052137756e-09,9.091230488432836e-12,0.0,0,0,0
1,5,0.0,0.0,0,0,67.81206560115962,0.9724665871330666,0.0,0,0,0
1,10,0.0,0.0,0,0,105.05075168482898,0.24655192378377028,0.0,0,0,0
1,20,0.0,0.0,0,0,1.910092981071058,0.010544360559121935,0.0,0,0,0
1,40,0.99951171875,0.9975609756097561,409,3685,0.0015039385559938966,2.2721546000819344e-06,0.0,0,0,0
1,80,1.0,1.0,410,3686,3.638477224999817e-09,1.0839926086543965e-12,0.0,0,0,0
2,5,0.0,0.0,0,0,47.115750200081514,0.749746888046979,0.0,0,0,0
2,10,0.0,0.0,0,0,52.3951002114688,0.1997863297423849,0.0,0,0,0
2,20,0.0,0.0,0,0,5.313461981069904,0.0032212473661772894,0.0,0,0,0
2,40,1.0,1.0,410,3686,0.0002655140888944306,2.1171070249690456e-06,0.0,0,0,0
2,80,1.0,1.0,410,3686,8.682060016657032e-11,6.930729379833377e-12,0.0,0,0,0
3,5,0.0,0.0,0,0,139.9327339531746,0.3697112703857098,0.0,0,0,0
3,10,0.0,0.0,0,0,101.25466153622703,0.36558977971710543,0.0,0,0,0
3,20,0.0,0.0,0,0,14.024626249352833,0.008715784557711088,0.0,0,0,0
3,40,1.0,1.0,410,3686,0.0038190415258113185,1.2018708548665277e-05,0.0,0,0,0
3,80,1.0,1.0,410,3686,1.1765143544572648e-08,6.404538215281115e-12,0.0,0,0,0
4,5,0.0,0.0,0,0,54.653857057341455,1.2566810023827615,0.0,0,0,0
4,10,0.0,0.0,0,0,116.9839555049919,0.43918912137288857,0.0,0,0,0
4,20,0.0,0.0,0,0,3.6770977555465207,0.01423496859831139,0.0,0,0,0
4,40,0.99755859375,0.9878048780487805,405,3681,0.0038034029108874982,1.0155094689566164e-05,0.0,0,0,0
4,80,1.0,1.0,410,3686,6.177722392093579e-09,1.8962734379836174e-12,0.0,0,0,0
5,5,0.0,0.0,0,0,63.350099784581666,0.799314007103085,0.0,0,0,0
5,10,0.0,0.0,0,0,99.7420771879303,0.22687527743584743,0.0,0,0,0
5,20,0.0,0.0,0,0,2.5769249096517433,0.007479808370708422,0.0,0,0,0
5,40,0.99951171875,0.9975609756097561,409,3685,0.00042421403573026945,1.5164379975771666e-06,0.0,0,0,0
5,80,1.0,1.0,410,3686,1.0150658255637493e-10,6.331313592835025e-13,0.0,0,0,0
6,5,0.0,0.0,0,0,175.00913045710513,0.6239923727667342,0.0,0,0,0
6,10,0.0,0.0,0,0,40.98854809451673,0.7293526497582613,0.0,0,0,0
6,20,0.0,0.0,0,0,9.453641616142272,0.11507796485768985,0.0,0,0,0
6,40,0.9912109375,0.9536585365853658,391,3669,0.0232709516927703,0.000667700630701527,0.0,0,0,0
6,80,1.0,1.0,410,3686,3.172018488600263e-07,9.51916522484141e-10,0.0,0,0,0
7,5,0.0,0.0,0,0,21.31883513251262,1.0205403379839897,0.0,0,0,0
